Product Number,Week, Processing Time ,Cost
GLIDEN PRO + SEALER-B76,2, 0.53 ,$5.37
KILZ PREMIUM-B79,2, 0.50 ,$4.19
BEHR-B80N,2, 0.54 ,$3.37
BEHR PRO-B81,2, 0.87 ,$4.87
BEHR AERO-B82,2, 0.52 ,$4.37
BEHR PRO + SEALER-B86HD,2, 0.45 ,$2.40
ZINSSER PRO-B86HY,2, 0.50 ,$1.90
KILZ-163TL,1, 0.19 ,$4.23
KILZ2-166TL,1, 0.12 ,$3.22
ZINSSER-182TLD,1, 0.02 ,$3.48
GLIDEN-184TL,1, 0.22 ,$3.55
GLIDEN PRO-186L,1, 0.10 ,$4.25
KILZ PRO-192LT,1, 0.04 ,$3.71
KILZ AERO-206TL,1, 0.26 ,$1.40
GLIDEN PRO + SEALER-207TL,1, 0.10 ,$6.76
KILZ PREMIUM-234TL,1, 0.10 ,$1.71
BEHR-258TL,1, 0.21 ,$4.35
BEHR PRO-268TL,1, 0.18 ,$3.91
BEHR AERO-269LC,1, 0.03 ,$3.00
BEHR PRO + SEALER-327TL,1, 0.25 ,$3.97
ZINSSER PRO-69TL,1, 0.30 ,$5.80
ZINSSER SEALER-82C,1, 0.25 ,$6.31
ZINSSER PREMIUM-86L,1, 0.07 ,$3.90
GILDEN PREMIUM-86LTORG,1, 0.14 ,$1.75
KILZ-86TL,1, 0.13 ,$3.83
KILZ2-B115,1, 0.14 ,$4.81
ZINSSER-B126F,1, 0.18 ,$3.57
GLIDEN-B127,1, 0.21 ,$1.85
GLIDEN PRO-B128,1, 0.03 ,$3.92
KILZ PRO-B129,1, 0.25 ,$3.02
KILZ AERO-B131,1, 0.05 ,$2.39
GLIDEN PRO + SEALER-B29,1, 0.18 ,$2.08
KILZ PREMIUM-B37,1, 0.23 ,$2.45
BEHR-B39,1, 0.10 ,$3.32
BEHR PRO-B40,1, 0.02 ,$1.55
BEHR AERO-B41,1, 0.16 ,$1.89
BEHR PRO + SEALER-B42,1, 0.11 ,$2.16
ZINSSER PRO-B53,1, 0.26 ,$1.32
ZINSSER SEALER-B54,1, 0.03 ,$6.28
ZINSSER PREMIUM-B61,1, 0.30 ,$2.30
GILDEN PREMIUM-B64,1, 0.14 ,$1.51
KILZ-B65,1, 0.18 ,$5.18
KILZ2-B66,1, 0.21 ,$1.76
ZINSSER-B67,1, 0.03 ,$5.22
GLIDEN-B69,1, 0.25 ,$4.58
GLIDEN PRO-B70,1, 0.18 ,$5.29
KILZ PRO-B72,1, 0.08 ,$3.29
KILZ AERO-B74,1, 0.23 ,$3.76
GLIDEN PRO + SEALER-B76,1, 0.10 ,$1.77
KILZ PREMIUM-B79,1, 0.02 ,$2.67
BEHR-B80N,1, 0.16 ,$4.75
BEHR PRO-B81,1, 0.11 ,$4.34
BEHR AERO-B82,1, 0.17 ,$4.94
BEHR PRO + SEALER-B86HD,1, 0.03 ,$3.13
ZINSSER PRO-B86HY,1, 0.30 ,$3.63
